,SKU,Product,Customer,Location,Status,CategoryDear,CategorySale,OnHand,Quantity,Sale,Unit,StockValue
93,833597009688,44 North Potato Vodka 750ml,Customer Square 3,Oak Hill,ACTIVE,Vodka,,12.0,,,,
184,080432516171,Aberlour Abunadh 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,,3.0,,,109.99000000000001,329.97
192,12161216,Absinthe Brouilleur 3 Hole,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,,3.0,,,14.0,42.0
227,14701470,Absinthe Glass Torsade,Customer Square 3,Oak Hill,ACTIVE,Glassware,,8.0,,,12.0,96.0
254,835229000711,Absolut Elyx 750ml,Customer Square 3,Oak Hill,ACTIVE,Vodka,,3.0,,,37.99,113.97
313,0727785006736,Agricola Morandin Lentico Pet Nat 750ml,Customer Square 3,Oak Hill,ACTIVE,Bubbles,,4.0,,,19.990000000000002,79.96000000000001
325,4969265778597,Akashi Single Malt 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Japanese,,4.0,,,114.99,459.96
331,4969265758834,Akashi Ume 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Japanese,,3.0,,,42.99,128.97
367,094922423139,Alessio Di Torino Vermouth 750ml,Customer Square 3,Oak Hill,ACTIVE,Fortified,,3.0,,,27.99,83.97
439,634955000046,Amaro Lucano 750ml,Customer Square 3,Oak Hill,ACTIVE,Amaro,,3.0,,,29.99,89.97
479,666392848189,Amicone Cantine Di Ora 750ml,Customer Square 3,Oak Hill,ACTIVE,Red Old World,,10.0,,,13.99,139.9
624,865922000343,Anxo Rose Cider 4pk,Customer Square 3,Oak Hill,ACTIVE,Cider,,6.0,,,14.99,89.94
642,23165013296,Apologue Persimmon 375ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,,4.0,,,,
722,704228056121,Arette Artesanal Anejo 750ml,Customer Square 3,Oak Hill,ACTIVE,Tequila,,4.0,,,82.99,331.96
762,9781604336986,Art of the Flask,Customer Square 3,Oak Hill,ACTIVE,Books,,3.0,,,,
886,094922525017,Averell Damson Gin Liqueur 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,,3.0,,,24.99,74.97
970,856146006013,Avua Amburana Cachaca 750ml,Customer Square 3,Oak Hill,ACTIVE,Cachaca,,3.0,,,49.99,149.97
1190,760921594803,Banner Vodka 750ml,Customer Square 3,Oak Hill,ACTIVE,Vodka,,3.0,,,24.99,74.97
1202,8410061018173,Barbadillo Amontillado Dry Sherry 750ml,Customer Square 3,Oak Hill,ACTIVE,Fortified,,5.0,,,,
1205,8410061018166,Barbadillo Fino 750ml,Customer Square 3,Oak Hill,ACTIVE,Fortified,,7.0,,,14.99,104.93
1207,8410061018159,Barbadillo Manzanilla Sherry 750mL,Customer Square 3,Oak Hill,ACTIVE,Fortified,,6.0,,,,
1240,096925003202,Barnard Griffin Syrah Port 500ml,Customer Square 3,Oak Hill,ACTIVE,Fortified,,6.0,,,17.990000000000002,107.94000000000001
1278,736040003373,Barrell Bourbon 28 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,6.0,,,89.99000000000001,539.94
1281,736040003397,Barrell Bourbon 29 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,6.0,,,89.99,539.9399999999999
1284,736040003403,Barrell Bourbon 30 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,6.0,,,89.99,539.9399999999999
1286,736040004684,Barrell Bourbon 31 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,6.0,,,,
1294,736040002772,Barrell Bourbon Private Release 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,3.0,,,96.99,290.96999999999997
1368,9780399582530,Batch Cocktails,Customer Square 3,Oak Hill,ACTIVE,Books,,3.0,,,19.99,59.97
1402,089540507590,Beefeater 24 1L,Customer Square 3,Oak Hill,ACTIVE,Gin,,6.0,,,35.99,215.94
1411,609224885853,Belle Meade Bourbon 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,3.0,,,64.99,194.96999999999997
1484,851718000697,Benhams Sonoma Dry Gin 750ml,Customer Square 3,Oak Hill,ACTIVE,Gin,,4.0,,,34.99,139.96
1527,761503452535,Berto Ross Da Travaj 1L,Customer Square 3,Oak Hill,ACTIVE,Fortified,,6.0,,,14.889999999999999,89.33999999999999
1589,8607000307508,Bikicki Sfera Noir 750ml,Customer Square 3,Oak Hill,ACTIVE,Red Old World,,6.0,,,17.99,107.94
1619,860012000364,Bitter Queens Thai Spice Bitters 5oz,Customer Square 3,Oak Hill,ACTIVE,Bitters,,3.0,,,19.99,59.97
1628,810255020407,Bitter Truth Blossom Bitters 100ml,Customer Square 3,Oak Hill,ACTIVE,Bitters,,3.0,,,21.99,65.97
