Action,ProductSKU,ProductName,Location,MinimumBeforeReorder,ReorderQuantity,Stock Locator,PickZones
Create/Update,860000739016,Big Swig Prickly Pear Cucumber 12pk,Customer Square 1,1,5,,
Create/Update,860000739085,Big Swig Watermelon & Mint 12pk,Customer Square 1,1,5,,
Create/Update,852322814199,Bigallet China 750ml,Customer Square 1,1,6,,
Create/Update,852322824068,Bigallet Thym Liqueur 750ml,Customer Square 1,0,3,,
Create/Update,8607000210341,Bikicki Pinotte Pinot Noir 750ml,Customer Square 1,2,6,,
Create/Update,8607000307508,Bikicki Sfera Noir 750ml,Customer Square 1,0,6,,
Create/Update,899175002212,Birichino Scylla Red Blend 750ml,Customer Square 1,1,12,,
Create/Update,850314007222,Bishop Variety Cans 6 Pack,Customer Square 1,1,4,,
Create/Update,860012000326,Bitter Queens Chinese 5 Spice Bitters 5oz,Customer Square 1,0,4,,
Create/Update,860012000302,Bitter Queens Chocolate Walnut Bitters 5oz,Customer Square 1,0,4,,
Create/Update,860012000333,Bitter Queens Eucalyptus Bitters 5oz,Customer Square 1,0,4,,
Create/Update,860012000364,Bitter Queens Thai Spice Bitters 5oz,Customer Square 1,0,4,,
Create/Update,860012000357,Bitter Queens Tobacco Bitters 5oz,Customer Square 1,0,6,,
Create/Update,810255020001,Bitter Truth Aromatic Bitters 200ml,Customer Square 1,0,12,,
Create/Update,810255020483,Bitter Truth Bogarts Bitters 375ml,Customer Square 1,0,6,,
Create/Update,810255020032,Bitter Truth Celery Bitters 200ml,Customer Square 1,0,12,,
Create/Update,810255020049,Bitter Truth Creole Bitters 200ml,Customer Square 1,0,12,,
Create/Update,810255020346,Bitter Truth Cucumber Bitters 200ml,Customer Square 1,0,12,,
Create/Update,810255020100,Bitter Truth Elderflower 750ml,Customer Square 1,0,6,,
